canonical_agent_id,original_agent_id,employee_code,agent_name,vendor_id,team,status,confidence,resolution_reason
AGT0000789,AGT0000789,EMP00001,Rahul Verma,VND0000003,T3,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000667,AGT0000667,EMP00002,Neha Singh,VND0000007,T1,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000108,AGT0000108,EMP00003,Rahul Verma,VND0000014,T3,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000701,AGT0000701,EMP00004,Rohan Patel,VND0000013,DIGITAL,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000449,AGT0000449,EMP00005,Pooja Nair,VND0000008,T1,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000456,AGT0000456,EMP00006,Rohan Patel,VND0000003,T1,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000789,AGT0000789,EMP00007,Neha Singh,VND0000015,FIELD,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000917,AGT0000917,EMP00008,Rohan Patel,VND0000007,T2,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000283,AGT0000283,EMP00009,Vikram Shah,VND0000010,T3,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000537,AGT0000537,EMP00010,Ananya Rao,VND0000009,FIELD,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000640,AGT0000640,EMP00011,Rahul Verma,VND0000009,DIGITAL,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000498,AGT0000498,EMP00012,Priya Mehta,VND0000012,T2,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000105,AGT0000105,EMP00013,Vikram Shah,VND0000003,DIGITAL,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000345,AGT0000345,EMP00014,Rohan Patel,VND0000003,DIGITAL,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000249,AGT0000249,EMP00015,Amit Kumar,VND0000006,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000561,AGT0000561,EMP00016,Amit Kumar,VND0000014,T2,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000141,AGT0000141,EMP00017,Ananya Rao,VND0000008,DIGITAL,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000339,AGT0000339,EMP00018,Priya Mehta,VND0000009,T1,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000440,AGT0000440,EMP00019,Priya Mehta,VND0000010,T2,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000666,AGT0000666,EMP00020,Vikram Shah,VND0000012,T3,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000651,AGT0000651,EMP00021,Pooja Nair,VND0000014,DIGITAL,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000181,AGT0000181,EMP00022,Priya Mehta,VND0000004,FIELD,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000287,AGT0000287,EMP00023,Rahul Verma,VND0000004,T2,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000879,AGT0000879,EMP00024,Rahul Verma,VND0000008,DIGITAL,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000185,AGT0000185,EMP00025,Rahul Verma,VND0000004,T2,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000981,AGT0000981,EMP00026,Rahul Verma,VND0000011,T3,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000183,AGT0000183,EMP00027,Pooja Nair,VND0000008,T2,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000536,AGT0000536,EMP00028,Vikram Shah,VND0000004,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000694,AGT0000694,EMP00029,Pooja Nair,VND0000009,DIGITAL,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000803,AGT0000803,EMP00030,Rohan Patel,VND0000004,T3,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000784,AGT0000784,EMP00031,Ananya Rao,VND0000013,T2,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000120,AGT0000120,EMP00032,Priya Mehta,VND0000005,T2,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000907,AGT0000907,EMP00033,Vikram Shah,VND0000007,FIELD,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000970,AGT0000970,EMP00034,Aarav Sharma,VND0000014,T1,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000879,AGT0000879,EMP00035,Ananya Rao,VND0000004,FIELD,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000209,AGT0000209,EMP00036,Vikram Shah,VND0000010,DIGITAL,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000583,AGT0000583,EMP00037,Vikram Shah,VND0000008,T3,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000578,AGT0000578,EMP00038,Aarav Sharma,VND0000001,T3,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000390,AGT0000390,EMP00039,Ananya Rao,VND0000012,DIGITAL,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000770,AGT0000770,EMP00040,Pooja Nair,VND0000014,T1,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000110,AGT0000110,EMP00041,Neha Singh,VND0000002,DIGITAL,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000810,AGT0000810,EMP00042,Aarav Sharma,VND0000006,T3,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000856,AGT0000856,EMP00043,Sneha Das,VND0000010,FIELD,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000380,AGT0000380,EMP00044,Vikram Shah,VND0000007,T3,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000007,AGT0000007,EMP00045,Aarav Sharma,VND0000005,DIGITAL,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000847,AGT0000847,EMP00046,Aarav Sharma,VND0000005,T1,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000894,AGT0000894,EMP00047,Aarav Sharma,VND0000003,T1,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000735,AGT0000735,EMP00048,Rohan Patel,VND0000015,DIGITAL,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000339,AGT0000339,EMP00049,Neha Singh,VND0000015,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000077,AGT0000077,EMP00050,Neha Singh,VND0000012,FIELD,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000342,AGT0000342,EMP00051,Rohan Patel,VND0000015,DIGITAL,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000527,AGT0000527,EMP00052,Rohan Patel,VND0000005,T2,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000098,AGT0000098,EMP00053,Amit Kumar,VND0000015,FIELD,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000181,AGT0000181,EMP00054,Pooja Nair,VND0000010,DIGITAL,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000812,AGT0000812,EMP00055,Pooja Nair,VND0000005,T3,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000808,AGT0000808,EMP00056,Vikram Shah,VND0000004,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000987,AGT0000987,EMP00057,Aarav Sharma,VND0000015,T2,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000405,AGT0000405,EMP00058,Priya Mehta,VND0000014,T3,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000931,AGT0000931,EMP00059,Ananya Rao,VND0000010,FIELD,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000409,AGT0000409,EMP00060,Priya Mehta,VND0000005,T1,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000500,AGT0000500,EMP00061,Sneha Das,VND0000002,DIGITAL,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000593,AGT0000593,EMP00062,Vikram Shah,VND0000008,T1,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000198,AGT0000198,EMP00063,Pooja Nair,VND0000014,T1,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000716,AGT0000716,EMP00064,Neha Singh,VND0000011,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000554,AGT0000554,EMP00065,Rahul Verma,VND0000004,DIGITAL,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000381,AGT0000381,EMP00066,Sneha Das,VND0000007,T3,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000237,AGT0000237,EMP00067,Priya Mehta,VND0000005,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000183,AGT0000183,EMP00068,Aarav Sharma,VND0000005,T1,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000854,AGT0000854,EMP00069,Neha Singh,VND0000013,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000253,AGT0000253,EMP00070,Ananya Rao,VND0000004,T2,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000335,AGT0000335,EMP00071,Rahul Verma,VND0000001,FIELD,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000030,AGT0000030,EMP00072,Amit Kumar,VND0000010,T2,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000707,AGT0000707,EMP00073,Pooja Nair,VND0000001,T3,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
